name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new delhi,01-01-2025,58.3,46.4,50.8,58.3,44.2,50.3,48.1,90.7,0,0,0,,0,0,16.6,7.3,261,1019.1,30.9,0.5,166.1,14.4,6,,2025-01-01T07:14:07,2025-01-01T17:35:36,0.05,Partially cloudy,Partly cloudy throughout the day.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,02-01-2025,59.5,46.4,50.9,59.5,42.9,50,48.2,90.9,0,0,0,,0,0,18.6,7.1,265.6,1018.4,40.2,0.4,162.1,13.9,6,,2025-01-02T07:14:21,2025-01-02T17:36:18,0.08,Partially cloudy,Partly cloudy throughout the day.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,03-01-2025,67.6,46.4,53.7,67.6,45.3,53.6,50.7,91,0,0,0,,0,0,12.1,4.3,268.9,1018.1,41.6,0.3,158,13.6,6,,2025-01-03T07:14:34,2025-01-03T17:37:01,0.12,Partially cloudy,Clearing in the afternoon.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,04-01-2025,66.8,48.2,54.9,66.8,48.2,54.8,52.6,92.9,0,0,0,,0,0,11.9,6.9,105.6,1016.1,49.8,0.2,168.8,14.7,6,,2025-01-04T07:14:45,2025-01-04T17:37:44,0.15,Partially cloudy,Clearing in the afternoon.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,05-01-2025,62.8,48.2,53.7,62.8,44.6,53.3,50.2,89.1,0,0,0,,0,0,15.4,8.1,112.3,1016,32.3,0.3,129,11.2,6,,2025-01-05T07:14:55,2025-01-05T17:38:29,0.19,Partially cloudy,Clearing in the afternoon.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,06-01-2025,61,50.3,54.7,61,50.3,54.7,51.8,90.5,0.003,100,4.17,rain,0,0,13,7.7,268.3,1017.1,54.1,0.5,115.8,9.9,5,,2025-01-06T07:15:03,2025-01-06T17:39:14,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,07-01-2025,59.6,48.6,54.2,59.6,48.6,54.2,52,92.8,0,0,0,,0,0,21.7,10.6,278.5,1018,52.9,0.5,159.8,13.8,6,,2025-01-07T07:15:10,2025-01-07T17:40:00,0.25,Partially cloudy,Partly cloudy throughout the day.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,08-01-2025,69.2,44.6,55,69.2,44.6,54.6,47.8,80.6,0,0,0,,0,0,19.2,13.1,263.5,1015.8,19.7,1.1,173,15,7,,2025-01-08T07:15:15,2025-01-08T17:40:46,0.3,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,09-01-2025,69.3,43.8,55.6,69.3,43.8,55.6,47.7,77.9,0,0,0,,0,0,9.8,6.6,73.4,1018.2,3.8,0.9,175.2,15.1,7,,2025-01-09T07:15:19,2025-01-09T17:41:33,0.33,Clear,Clear conditions throughout the day.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
new delhi,10-01-2025,62.6,48.2,53.3,62.6,47.3,53.3,50.3,90.4,0,0,0,,0,0,12.1,6.1,111.3,1019.9,34.5,0.4,174.6,15.1,7,,2025-01-10T07:15:21,2025-01-10T17:42:20,0.37,Partially cloudy,Clearing in the afternoon.,fog,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999"
